RelativePath,AuditStatus,HardConstraintsPassed,MaxPowerResidualKW,MaxStorageResidualKG,MaxStorageLowerViolationKG,MaxStorageUpperViolationKG,MaxHBLowerViolation,MaxHBUpperViolation,MaxHBRampViolation,BuySellOverlapKWh,CO2MarginKG,TerminalBacklogKG,MaxBacklogKG
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l1_soft_cp050_hb005_gate_2022_latest.mat,audited,0,8.51287040859461e-10,2.27373675443232e-11,3.18323145620525e-12,0,0,0,3.05311331771918e-15,0,-3079.36795694754,43109.8142742011,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l1_soft_cp050_hb010_gate_2022_latest.mat,audited,0,8.51287040859461e-10,3.36513039655983e-11,2.27373675443232e-12,1.81898940354586e-12,0,0,3.7470027081099e-15,0,-3764.53502405435,53954.8520507559,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l1_soft_cp050_hb020_gate_2022_latest.mat,audited,0,8.51287040859461e-10,3.50155460182577e-11,7.73070496506989e-12,0,0,0,4.85167461761193e-14,0,-7035.82679029182,91933.7045170637,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l1_soft_gate_2022_latest.mat,audited,1,5.23868948221207e-10,3.54702933691442e-11,1.00044417195022e-11,1.81898940354586e-12,0,0,3.21964677141295e-15,0,3.72529029846191e-09,22740.0554965109,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l1_soft_hb005_gate_2022_latest.mat,audited,1,5.71162672713399e-10,2.27373675443232e-11,2.72848410531878e-12,0,0,0,3.05311331771918e-15,0,-1.49011611938477e-08,51676.6510813898,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l1_soft_hb010_gate_2022_latest.mat,audited,1,5.96628524363041e-10,3.36513039655983e-11,4.54747350886464e-12,1.81898940354586e-12,0,0,3.7470027081099e-15,0,-1.49011611938477e-08,63407.9659822094,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l1_soft_hb020_gate_2022_latest.mat,audited,0,7.74889485910535e-10,3.50155460182577e-11,1.81898940354586e-12,0,0,0,4.85167461761193e-14,0,-3764.53502402827,102410.386819712,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l2_soft_cp025_gate_2022_latest.mat,audited,1,8.51287040859461e-10,3.54702933691442e-11,4.54747350886464e-12,1.81898940354586e-12,0,0,3.21964677141295e-15,0,-1.11758708953857e-08,20990.8041628868,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l2_soft_cp025_hb005_gate_2022_latest.mat,audited,0,8.51287040859461e-10,2.27373675443232e-11,2.72848410531878e-12,0,0,0,3.05311331771918e-15,0,-645.025364354253,51417.9661744767,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l2_soft_cp025_hb010_gate_2022_latest.mat,audited,0,8.51287040859461e-10,3.36513039655983e-11,4.09272615797818e-12,1.81898940354586e-12,0,0,3.7470027081099e-15,0,-3779.72283846512,62866.0980759952,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l2_soft_cp025_hb020_gate_2022_latest.mat,audited,0,8.51287040859461e-10,3.50155460182577e-11,4.54747350886464e-12,0,0,0,4.85167461761193e-14,0,-3842.68782294914,105099.305200241,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l2_soft_cp050_gate_2022_latest.mat,audited,1,8.51287040859461e-10,3.54702933691442e-11,5.91171556152403e-12,1.81898940354586e-12,0,0,3.21964677141295e-15,0,0,12740.7184947576,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l2_soft_cp050_hb005_gate_2022_latest.mat,audited,0,8.51287040859461e-10,2.27373675443232e-11,1.36424205265939e-12,0,0,0,3.83026943495679e-15,0,-3279.46191676334,43776.7941403006,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l2_soft_cp050_hb010_gate_2022_latest.mat,audited,0,8.51287040859461e-10,3.36513039655983e-11,4.09272615797818e-12,1.81898940354586e-12,0,0,3.7470027081099e-15,0,-3764.53502406552,54953.5096588209,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l2_soft_cp050_hb020_gate_2022_latest.mat,audited,0,8.51287040859461e-10,3.50155460182577e-11,4.54747350886464e-12,0,0,0,4.85167461761193e-14,0,-7035.31390604377,93519.0231577755,1457974.65732877
